scenario,epochs,method,seed,position,dateIndex,dateColumn
baseline_248,248,baseline,,0,0,D20170322
baseline_248,248,baseline,,1,1,D20170403
baseline_248,248,baseline,,2,2,D20170415
baseline_248,248,baseline,,3,3,D20170427
baseline_248,248,baseline,,4,4,D20170509
baseline_248,248,baseline,,5,5,D20170521
baseline_248,248,baseline,,6,6,D20170602
baseline_248,248,baseline,,7,7,D20170614
baseline_248,248,baseline,,8,8,D20170626
baseline_248,248,baseline,,9,9,D20170708
baseline_248,248,baseline,,10,10,D20170720
baseline_248,248,baseline,,11,11,D20170801
baseline_248,248,baseline,,12,12,D20170813
baseline_248,248,baseline,,13,13,D20170825
baseline_248,248,baseline,,14,14,D20170906
baseline_248,248,baseline,,15,15,D20170918
baseline_248,248,baseline,,16,16,D20170930
baseline_248,248,baseline,,17,17,D20171012
baseline_248,248,baseline,,18,18,D20171024
baseline_248,248,baseline,,19,19,D20171105
baseline_248,248,baseline,,20,20,D20171117
baseline_248,248,baseline,,21,21,D20171129
baseline_248,248,baseline,,22,22,D20171211
baseline_248,248,baseline,,23,23,D20171223
baseline_248,248,baseline,,24,24,D20180104
baseline_248,248,baseline,,25,25,D20180116
baseline_248,248,baseline,,26,26,D20180128
baseline_248,248,baseline,,27,27,D20180209
baseline_248,248,baseline,,28,28,D20180221
baseline_248,248,baseline,,29,29,D20180305
baseline_248,248,baseline,,30,30,D20180317
baseline_248,248,baseline,,31,31,D20180329
baseline_248,248,baseline,,32,32,D20180410
baseline_248,248,baseline,,33,33,D20180422
baseline_248,248,baseline,,34,34,D20180504
baseline_248,248,baseline,,35,35,D20180516
baseline_248,248,baseline,,36,36,D20180528
baseline_248,248,baseline,,37,37,D20180609
baseline_248,248,baseline,,38,38,D20180621
baseline_248,248,baseline,,39,39,D20180703
baseline_248,248,baseline,,40,40,D20180715
baseline_248,248,baseline,,41,41,D20180727
baseline_248,248,baseline,,42,42,D20180808
baseline_248,248,baseline,,43,43,D20180820
baseline_248,248,baseline,,44,44,D20180901
baseline_248,248,baseline,,45,45,D20180913
baseline_248,248,baseline,,46,46,D20180925
baseline_248,248,baseline,,47,47,D20181007
baseline_248,248,baseline,,48,48,D20181019
baseline_248,248,baseline,,49,49,D20181031
baseline_248,248,baseline,,50,50,D20181112
baseline_248,248,baseline,,51,51,D20181124
baseline_248,248,baseline,,52,52,D20181206
baseline_248,248,baseline,,53,53,D20181218
baseline_248,248,baseline,,54,54,D20181230
baseline_248,248,baseline,,55,55,D20190111
baseline_248,248,baseline,,56,56,D20190123
baseline_248,248,baseline,,57,57,D20190204
baseline_248,248,baseline,,58,58,D20190216
baseline_248,248,baseline,,59,59,D20190228
baseline_248,248,baseline,,60,60,D20190312
baseline_248,248,baseline,,61,61,D20190324
baseline_248,248,baseline,,62,62,D20190405
baseline_248,248,baseline,,63,63,D20190417
baseline_248,248,baseline,,64,64,D20190429
baseline_248,248,baseline,,65,65,D20190511
baseline_248,248,baseline,,66,66,D20190523
baseline_248,248,baseline,,67,67,D20190604
baseline_248,248,baseline,,68,68,D20190616
baseline_248,248,baseline,,69,69,D20190628
baseline_248,248,baseline,,70,70,D20190710
baseline_248,248,baseline,,71,71,D20190722
baseline_248,248,baseline,,72,72,D20190803
baseline_248,248,baseline,,73,73,D20190815
baseline_248,248,baseline,,74,74,D20190827
baseline_248,248,baseline,,75,75,D20190908
baseline_248,248,baseline,,76,76,D20190920
baseline_248,248,baseline,,77,77,D20191002
baseline_248,248,baseline,,78,78,D20191014
baseline_248,248,baseline,,79,79,D20191026
baseline_248,248,baseline,,80,80,D20191107
baseline_248,248,baseline,,81,81,D20191119
baseline_248,248,baseline,,82,82,D20191201
baseline_248,248,baseline,,83,83,D20191213
