FID,xpos,ypos,D20170322,D20170403,D20170415,D20170509,D20170521,D20170602,D20170614,D20170626,D20170708,D20170720,D20170801,D20170825,D20170906,D20170930,D20171012,D20171105,D20171117,D20171129,D20171211,D20171223,D20180104,D20180116,D20180128,D20180209,D20180221,D20180305,D20180317,D20180329,D20180410,D20180422,D20180504,D20180528,D20180609,D20180621,D20180715,D20180727,D20180808,D20180820,D20180901,D20180913,D20180925,D20181007,D20181019,D20181031,D20181112,D20181124,D20181206,D20181218,D20181230,D20190111,D20190123,D20190204,D20190216,D20190228,D20190312,D20190324,D20190417,D20190429,D20190511,D20190523,D20190604,D20190616,D20190628,D20190710,D20190722,D20190803,D20190815,D20190827,D20190908,D20190920,D20191002,D20191014,D20191026,D20191107,D20191119,D20191201,D20191213,D20191225,D20200106,D20200118,D20200130,D20200211,D20200223,D20200306,D20200318,D20200330,D20200411,D20200423,D20200505,D20200517,D20200529,D20200704,D20200716,D20200728,D20200821,D20200902,D20200926,D20201008,D20201020,D20201101,D20201113,D20201125,D20201207,D20201219,D20201231,D20210124,D20210205,D20210217,D20210301,D20210313,D20210325,D20210406,D20210418,D20210430,D20210512,D20210524,D20210605,D20210617,D20210711,D20210723,D20210804,D20210828,D20210909,D20210921,D20211003,D20211015,D20211027,D20211108,D20211120,D20211202,D20211214,D20211226,D20220107,D20220119,D20220131,D20220212,D20220224,D20220308,D20220320,D20220401,D20220413,D20220507,D20220519,D20220531,D20220624,D20220811,D20220823,D20220916,D20220928,D20221010,D20221022,D20221103,D20221115,D20221127,D20221209,D20221221,D20230102,D20230114,D20230126,D20230207,D20230219,D20230303,D20230315,D20230327,D20230408,D20230502,D20230514,D20230526,D20230607,D20230818,D20230830,D20230923,D20231005,D20231017,D20231110,D20231122,D20231204,D20231216,D20231228,D20240109,D20240121,D20240202,D20240214,D20240226,D20240309,D20240321,D20240402,D20240426,D20240812,D20240905,D20240917,D20240929,D20241011,D20241023,D20241104,D20241116,D20241128,D20241210,D20241222,D20250103,D20250115,D20250127,D20250208,D20250220,D20250304,D20250316,D20250328,D20250409,D20250421,D20250503,Pattern
102846,110.3284,20.04539,0,-4.795673,-0.826551,1.40401,-4.569794,-7.550496,-3.362406,-3.890436,-0.238666,-4.65436,-6.292614,-4.02145,1.424545,-3.614851,0.228319,0.298962,-2.552955,-0.49505,-1.991968,-3.641231,-3.710858,-0.797147,-2.409491,-1.316992,-2.267592,2.560588,-3.199978,0.661616,-2.93608,-3.227069,-6.802163,-4.855656,-1.715355,3.933097,-0.740119,-2.255352,-8.459446,-6.809861,-10.834234,-10.850804,-3.022341,-2.690473,-3.671422,1.460808,0.881425,1.297567,-0.955483,0.801295,-0.137105,-0.456174,1.66565,3.003563,4.820626,-5.636291,0.625046,-2.190076,3.955225,3.298958,3.391928,1.773751,1.922601,-3.212525,7.788346,2.083747,-0.086121,-2.819744,-7.378192,-5.623916,-0.053208,-7.6436,-2.026706,-3.888034,0.404521,0.947591,-2.111557,0.525544,-6.36775,-3.450858,-3.064082,-2.334155,-2.546439,-0.035799,-1.120208,-0.325075,5.996976,-1.908364,-2.769294,-3.990023,-1.382564,-4.166707,-4.12063,2.346869,-6.9827,-7.97787,-7.140689,-8.29888,-10.483082,-12.264388,-9.466345,-8.709894,-3.201256,-5.167763,-5.842558,-5.294775,-5.231219,-4.950484,-4.726745,-4.087957,-4.174613,-6.896518,-6.596073,-4.821788,-5.232067,-6.247579,-2.205031,-6.111743,-5.729245,-9.286319,-4.570083,-3.17738,0.105321,-1.1975,-2.409783,-4.242969,-2.766744,-5.56598,-0.772874,-3.205124,-3.593161,-0.170645,-1.352733,-2.837901,-2.201022,-2.190387,-1.520037,-2.626873,-2.471555,-3.403279,-0.587448,-0.075573,-3.82677,0.535117,0.481923,-2.479402,-1.57056,1.795923,0.823449,-2.935256,-2.094535,0.752796,1.804619,-1.292606,-0.73167,2.721888,1.739619,-0.242947,0.764421,-0.376841,3.053339,1.976503,0.591352,-1.444124,0.359133,0.48728,-2.001441,-3.863987,-3.623236,-4.565068,-0.966703,0.215173,-5.55963,-3.467551,0.152215,0.711011,-6.850474,-6.583649,-4.800668,-1.974737,-3.985907,-4.740677,-5.118896,-5.72319,-3.256907,-3.730423,-4.667357,-4.407943,-3.285416,-4.174466,-2.097678,-3.043646,-3.115696,-7.879443,-4.598232,-3.015488,-4.279035,-5.35359,-7.10311,-7.01737,-6.721669,-6.851273,-5.73962,-5.494782,-5.946509,-6.375892,-5.532838,-6.084612,-5.556136,-5.713249,-4.831852,-5.912731,Stable
102863,110.3285,20.04542,0,-4.5055,-0.835853,0.944229,-3.787543,-6.200337,-6.461972,-3.37219,2.218092,-2.420933,-6.067102,-4.358371,0.639978,-4.191489,-0.008978,-2.187462,-3.900707,-2.356332,-5.494987,-6.510658,-4.838127,-3.165799,-3.814333,-3.816214,-5.257442,0.734587,-4.884848,-3.442675,-3.661032,-3.186996,-7.231516,-7.745185,-5.118417,1.051572,1.360167,-3.968377,-7.980798,-3.632428,-11.772465,-7.249138,-1.740862,2.386756,-3.03128,1.35893,0.389062,-0.24387,-3.055063,-1.245849,-2.81257,-2.197057,0.38133,0.647446,2.580263,-7.787272,0.291387,-1.803868,2.613985,0.642341,-1.37387,-3.410219,-3.855708,-8.366371,3.484967,-3.015888,-4.330792,-6.399195,-9.504033,-7.276105,-4.828902,-8.779026,-5.692201,-6.332779,-3.503491,-3.022964,-6.889984,-4.610702,-10.564131,-8.555995,-7.431839,-7.020756,-7.543088,-4.610801,-5.515682,-4.415935,0.259033,-8.376388,-6.46952,-6.52288,-5.013836,-8.413232,-7.099267,-1.967932,-10.127144,-9.211661,-9.337873,-6.975498,-9.525397,-11.583058,-9.89146,-9.13691,-4.815245,-7.735942,-7.578621,-6.977293,-7.179909,-6.853699,-5.703742,-6.06269,-6.166535,-7.785066,-8.203426,-6.937497,-7.000992,-7.990298,-5.358699,-8.735682,-7.948123,-14.202311,-9.181695,-8.27662,-5.961615,-7.975345,-7.380591,-10.251925,-8.419204,-10.693648,-5.78794,-7.423927,-8.816672,-6.049916,-6.351923,-8.501136,-7.698802,-7.370082,-7.120248,-8.140916,-7.630865,-8.28673,-5.539166,-4.262128,-8.027277,-4.229364,-5.542303,-8.912223,-5.620337,-3.093639,-5.533285,-9.319726,-6.518469,-4.179762,-4.409907,-7.067264,-6.723658,-4.438484,-5.242347,-6.809086,-6.1997,-7.311939,-3.878887,-5.066015,-6.118478,-9.05448,-6.357239,-5.785354,-9.093649,-11.874275,-9.535507,-10.41099,-9.943962,-7.134009,-11.350023,-9.228077,-5.876254,-4.602016,-12.382323,-11.606872,-10.279425,-8.900209,-10.637985,-10.22475,-10.229767,-11.512859,-9.573874,-9.635806,-9.878374,-10.640921,-8.852723,-9.0846,-8.009507,-10.957943,-10.197795,-12.775594,-10.944116,-9.846315,-9.408982,-9.771957,-10.023311,-10.165291,-10.218388,-10.527279,-9.814701,-9.214117,-9.241897,-10.173994,-9.45233,-9.775245,-9.111919,-9.085393,-9.188654,-10.044096,Stable
102881,110.3287,20.04545,0,-4.328737,-0.060905,2.824242,-1.257215,-5.305523,-2.848412,-3.385701,1.475972,-4.763554,-5.981518,-3.447325,-0.087815,-10.716827,-4.421511,-4.934803,-6.542905,-4.943067,-7.172914,-8.479503,-6.61237,-5.024973,-5.876213,-6.794223,-6.378474,-0.194047,-5.653224,-4.312789,-4.979213,-4.606442,-8.742635,-8.844942,-7.269735,-2.075788,-5.209817,-6.508898,-12.480828,-9.346359,-10.427763,-14.338461,-7.214527,-3.779255,-8.893808,-4.682171,-6.414447,-7.091244,-8.443044,-8.118802,-9.153527,-9.892514,-9.522765,-7.794417,-6.51751,-18.329023,-11.367348,-14.475417,-9.378196,-11.616589,-12.539653,-13.675225,-15.097813,-18.544177,-7.571065,-12.594578,-14.209867,-13.813486,-20.100388,-14.984167,-10.938758,-12.981348,-11.731172,-8.66981,-7.252619,-3.942937,-6.33104,-5.39547,-10.564603,-6.334414,-6.945413,-6.401002,-6.31837,-3.768948,-4.470857,-5.331055,0.458123,-7.752816,-6.407731,-6.192176,-4.141444,-5.815686,-6.086654,-2.596176,-7.291938,-10.627395,-8.215176,-8.210033,-11.075396,-12.309138,-10.628208,-11.538091,-4.360052,-10.226682,-11.037183,-9.399096,-7.882063,-9.082638,-7.440344,-7.479032,-8.510477,-8.85175,-8.718468,-10.643258,-7.980543,-10.70788,-9.919512,-9.481404,-8.931807,-15.092498,-10.27084,-8.120217,-7.012019,-7.245369,-7.58522,-11.085132,-8.434958,-10.940932,-5.540736,-8.300463,-7.991562,-5.970665,-6.835748,-7.203734,-7.742593,-8.011882,-8.145764,-9.138782,-7.742955,-8.455867,-6.452429,-6.810042,-8.692907,-6.282481,-7.607917,-6.899913,-5.272401,-4.892622,-5.469443,-9.708991,-8.906882,-6.82566,-6.913004,-8.948865,-8.413595,-6.189655,-7.336974,-8.744311,-9.233912,-11.250864,-6.860554,-8.17526,-9.497615,-11.391277,-9.630602,-8.612203,-10.92093,-12.547993,-11.056896,-11.802914,-9.760453,-7.963291,-10.973777,-8.217288,-5.812812,-4.744363,-13.428238,-12.243752,-10.452379,-8.813366,-10.725879,-10.561052,-10.955406,-12.028199,-10.383414,-10.427104,-11.044712,-11.159897,-9.821335,-9.6246,-7.346856,-7.488372,-9.614867,-12.695996,-10.75443,-8.712133,-9.054394,-10.489291,-11.606787,-10.88065,-10.643103,-11.183647,-10.417989,-9.063588,-9.320584,-10.544201,-9.430816,-10.121684,-9.741752,-8.992039,-9.363397,-9.91623,Piecewise
103241,110.328,20.04519,0,-4.77501,-0.60646,2.36476,-0.79321,-4.96037,-1.7663,-0.28948,2.45985,-2.00257,-0.11822,1.62943,4.769152,-1.13563,3.73572,1.74429,0.75086,1.14079,0.3569,-0.54696,0.49618,1.72964,1.17473,1.77133,0.50034,6.499468,1.18334,3.237474,1.73477,1.7881,-0.61742,-0.11301,1.79115,7.249094,6.135411,3.02544,-1.63705,1.79395,-2.53018,-1.23835,3.476139,6.500957,2.0961,5.718295,4.606125,3.944878,1.44352,4.019499,4.171064,2.4036,3.118497,5.054359,7.116988,-4.41345,3.568137,0.69875,7.854738,6.35305,5.503122,4.705115,2.59933,-3.22211,8.958453,2.51534,0.95136,-4.62164,-5.19768,1.10468,3.396344,-2.45392,2.11518,3.152502,6.657175,9.05106,5.705868,8.755015,2.7747,6.88527,8.137306,7.662391,7.614814,10.077778,10.107704,9.11673,14.37712,5.936669,7.557954,6.590089,9.854473,8.013796,9.046149,10.411849,8.112084,7.493845,6.669389,10.405724,6.709333,4.686699,9.537637,11.187276,15.635814,13.662038,11.969312,12.610158,13.708762,13.525113,14.521895,14.500523,13.529057,12.482286,13.143763,13.338202,12.557448,10.801875,14.126057,13.019851,12.81133,7.395826,11.463144,14.520012,14.681746,14.347092,15.194894,10.702573,12.788103,12.326178,16.315522,14.495578,14.913436,16.005501,15.585224,15.481183,14.986103,15.234783,16.114081,14.415505,14.007153,15.023772,16.711255,16.255305,13.921058,16.314173,15.216694,13.908297,16.009145,17.294025,15.735907,11.792964,14.983653,16.039496,15.766215,15.181055,14.782967,16.791753,16.090515,14.630962,15.255362,13.386353,16.310081,15.120628,14.779052,12.031447,14.311387,16.300669,11.661116,7.404334,11.084984,8.816868,11.160113,13.413524,9.232758,9.96754,14.615952,15.774554,7.739233,8.933568,9.564161,11.124039,10.20006,10.46535,10.063557,8.977005,11.237376,10.141882,10.227363,9.063272,10.471475,10.693614,12.258186,11.243274,11.226162,7.048651,10.302018,12.546438,11.44643,9.446855,9.037354,9.232044,9.071865,9.109331,9.844425,9.801287,10.068737,9.565845,9.983557,9.346934,10.159681,9.400522,9.731447,8.945687,Piecewise
103260,110.3282,20.04522,0,-4.586363,0.287844,2.174524,-1.599279,-5.435034,-0.698906,-1.006817,2.942636,-3.22004,-3.286786,-0.103774,0.754312,-3.190945,2.528172,1.346599,0.44026,1.203989,-1.111759,-0.339045,-0.388088,2.075374,-0.205748,0.491297,-0.001008,5.374597,0.266926,3.094813,1.653433,2.744929,-0.73651,0.353663,1.34145,5.876056,6.553153,2.219164,-1.754394,-0.124963,-4.116687,-3.698723,1.141405,2.479081,0.827648,0.503636,2.368738,0.9204,-0.613431,0.582155,-0.414234,-2.487582,0.345035,0.482903,2.278876,-7.147811,-1.266189,-3.458053,3.648419,1.098283,1.039263,-1.157565,1.415275,-5.932097,5.910766,1.900374,-0.306067,-5.463183,-5.315237,-3.634466,-2.133073,-6.622644,-2.075796,-2.622199,-0.197217,5.776523,0.185746,3.498639,-2.140692,0.257333,1.087348,1.138902,0.692112,3.558225,1.13486,3.327947,9.161255,-0.352788,0.309989,0.220305,2.258789,1.770209,2.790216,5.197565,-0.272777,-0.10263,-0.024174,0.745114,-3.190589,-2.175283,-1.151791,1.587474,5.070943,3.374646,1.431546,3.05979,3.080274,3.745481,3.860318,4.163726,4.384117,2.947416,3.948476,4.445506,3.618935,3.116097,5.529886,4.591176,5.183602,-1.853965,4.528316,5.988079,8.003121,6.91817,6.314218,3.840278,5.260777,3.571813,7.710479,7.706269,5.019062,7.138593,7.957244,6.661613,6.605674,7.476355,8.634569,6.801039,6.179644,5.882271,8.263696,7.764713,7.089463,9.174247,7.678773,6.165114,7.711615,9.680941,6.900147,0.955597,7.096039,6.32206,6.043364,6.655242,4.459294,5.416568,5.280438,4.244867,4.355345,3.438488,6.381447,6.138755,4.570519,3.425248,5.343158,5.423456,2.844386,1.36777,2.293287,1.720178,2.193329,5.290429,1.079471,0.847405,6.261691,8.393303,0.908992,1.359158,2.660372,3.538199,2.583895,3.48834,3.575841,2.012294,3.789458,2.61024,2.314132,2.851201,3.279113,2.759284,5.895933,5.633573,4.021877,0.180765,1.987872,4.063254,5.574582,2.393617,2.755646,2.924464,2.686269,2.361923,3.541269,3.657093,3.585625,3.576668,4.035665,3.663831,3.650944,3.623352,4.216671,2.888114,Stable
103277,110.3283,20.04525,0,-4.776533,-2.758705,1.317493,-2.437892,-6.586378,-2.492639,-1.41689,1.699699,-1.677201,-1.99731,-1.950603,-0.747774,-7.567637,-1.211613,-3.256768,-1.222976,-2.491068,-5.76516,-5.773126,-2.945748,-2.698453,-3.684431,-3.69121,-4.42753,1.569247,-3.337251,-1.569385,-0.855174,-1.052458,-5.492447,-5.940727,-5.367596,-1.265128,0.745349,-2.02798,-4.234159,-3.373114,-4.674919,-4.987054,1.561477,6.524648,2.087117,6.257698,6.5228,4.276373,1.750804,3.749902,3.153808,1.901716,3.132781,3.925597,7.023582,-4.697514,1.144549,0.937938,7.022638,3.658437,3.69415,1.535963,2.196247,-1.914101,11.229123,2.103439,3.677951,-2.533035,-5.96219,-3.375033,-0.364282,-4.754172,-2.559254,-3.605958,2.650441,6.030913,0.90056,4.318037,-0.824035,0.310647,2.764629,3.050864,2.108469,5.188813,4.078202,3.931376,9.92368,0.62617,2.017749,0.786952,4.575628,1.983652,1.102946,7.808205,0.905379,0.782804,2.331532,4.919485,-0.552813,-0.46752,-0.617741,1.303222,4.34611,1.614173,1.572224,2.619109,2.796445,2.91396,2.692925,2.927526,2.953443,2.186687,2.723062,2.269865,1.349692,1.298278,3.327704,1.441317,3.293192,-4.218873,0.468112,3.448226,3.674586,1.802895,2.826604,-1.260871,0.688536,-0.372868,5.199441,3.246313,1.835709,5.150674,4.473618,1.5015,2.046366,3.812553,4.097764,1.649529,1.187598,1.901712,4.496847,3.411842,2.127267,3.864846,3.859481,2.079559,3.439185,4.691977,2.038253,-3.488965,3.515455,1.647366,0.972663,0.216135,0.297647,2.86381,2.400666,0.914205,1.30848,-0.010248,3.523388,2.563486,1.430057,-1.502095,1.279772,1.979435,0.144608,-2.074875,-1.437173,-3.367302,-3.264679,2.266664,-2.179278,0.308529,4.461088,5.695764,-0.835844,-0.546395,-0.260576,2.268985,1.008548,0.181523,-0.102519,-0.01416,1.606754,0.636982,0.708892,0.054401,1.369753,1.130079,4.193324,2.893373,3.095004,-0.53279,1.739338,3.271096,3.72209,0.911197,0.180044,0.420643,1.024305,0.564434,1.508845,1.654197,1.535237,0.356537,1.634858,1.922763,1.225851,1.136237,1.569115,0.111342,Stable
103293,110.3285,20.04528,0,-5.994481,-0.26497,1.360873,-1.036246,-6.385971,-3.790421,-3.042961,1.686823,-2.794831,-3.538651,-1.141185,1.609348,-3.459201,1.049409,1.228036,1.201477,3.184044,0.671099,-0.764692,1.432944,2.28564,0.500788,0.668788,-0.658861,5.139213,-0.234398,1.072419,2.144826,1.642841,-2.717851,-1.869311,0.004557,7.101313,6.277712,2.160491,-1.297066,-0.181686,-0.664133,-1.564184,1.796487,4.803588,1.955815,5.719162,5.810386,2.998402,3.123629,6.345477,5.653684,4.853781,5.053876,6.558466,8.597439,-2.305851,3.217233,6.262674,8.60694,9.509506,6.710841,4.828381,7.744183,-2.730771,10.418033,3.810734,2.419253,-0.265535,-2.021691,1.835221,6.394971,1.175141,2.851916,8.11457,8.378797,11.020495,7.188404,10.981879,4.56477,8.803949,10.990504,10.781266,11.768274,12.767611,11.511661,12.227099,18.306289,8.436148,10.786172,9.626416,13.469687,11.132708,10.689768,14.635619,8.497513,7.076473,10.285536,9.93018,6.851631,3.870224,8.608796,11.61722,11.7891,6.793552,6.510318,8.989755,8.718689,10.23153,9.047093,8.750132,9.115029,8.363287,8.724183,9.131719,9.533317,7.518762,11.197775,9.748208,7.745392,4.638276,9.861209,13.283766,13.619591,11.458969,13.541516,9.179256,11.517595,10.605779,13.397752,14.322622,12.170877,15.796665,14.651107,12.65545,12.992919,13.77745,14.306182,12.633676,14.250933,13.937287,13.736101,14.114533,13.153172,15.900253,16.116982,13.624518,15.555381,17.728711,11.356927,8.2746,13.144521,14.95901,14.651567,11.93935,12.588144,16.186741,14.875255,13.325949,13.723889,12.164068,15.939483,15.318954,14.474151,11.840053,13.984496,14.532435,13.28299,11.633341,12.630176,10.666011,10.825441,14.79482,10.649262,13.560127,16.267871,17.112527,9.66839,10.823157,12.57493,12.606062,11.768814,12.170408,11.241752,10.733732,12.202959,12.057797,12.229832,11.126583,11.314489,11.921513,15.39094,13.824049,13.002167,9.843768,12.811417,13.701446,14.153289,11.264391,10.435444,11.215709,11.21105,10.838622,11.671661,11.583219,11.818677,10.52514,11.401335,11.115461,12.018078,12.107837,12.29349,10.756702,Piecewise
103309,110.3286,20.04531,0,-5.103951,-0.424215,12.672586,1.528235,1.125008,0.86966,4.096554,6.416164,4.388025,0.622437,4.579664,4.8404,4.107315,7.991096,6.358351,4.86192,6.125846,4.353517,5.178126,3.361753,7.163314,4.040985,5.88182,5.195277,8.378686,4.320714,6.096761,4.681756,5.132111,-1.289627,1.910816,5.08045,10.108466,7.599896,5.150529,-0.117767,1.187839,-0.95777,-0.476978,4.283958,7.120057,2.611091,6.961082,7.836336,5.051469,6.078434,6.957051,6.125331,4.879517,5.488114,8.241466,9.484086,-0.546889,3.586027,3.914342,4.497902,2.785707,0.50046,-6.878876,-3.40142,-12.598722,0.423351,-8.201952,-11.817583,-13.315014,-14.109534,-9.615574,-6.832478,-11.640649,-5.84922,-5.201121,-1.978307,-0.095176,-3.632259,-1.511072,-6.352117,-3.721442,-3.987567,-3.687535,-4.53848,-1.619837,-2.046218,-0.918434,4.177216,-5.012042,-5.135254,-6.099331,-2.766605,-4.816193,-2.918564,-1.976058,-3.320549,-4.630962,0.844309,-2.094967,-4.902199,-9.92121,-5.878785,-0.454684,-1.297109,-5.256441,-4.90032,-3.286523,-3.057796,-0.394199,-1.345386,-1.291113,-0.791933,-2.420207,-1.536906,-0.986164,-1.781403,-3.185199,0.292028,-0.751227,2.07185,-5.689898,-0.885285,1.159157,2.01205,1.800571,1.544943,-1.604829,1.664106,-0.110097,4.343342,2.220516,-1.331167,4.791272,0.971314,2.720819,2.841607,4.067648,3.488942,1.133484,0.643709,-0.245335,2.301428,1.223877,0.922532,3.963767,2.954812,-1.200657,3.52584,1.860645,0.939059,-6.10071,-2.214242,-0.779399,0.337179,-0.195324,-1.542607,0.552879,1.208908,0.198687,-1.714256,-2.030498,1.296913,0.772728,-0.462727,-2.539646,0.012015,1.302102,0.937449,0.558659,0.541871,-0.293955,0.164746,3.651852,-0.476566,1.808589,6.283585,6.853033,-1.100137,0.160238,1.276972,2.922903,2.216254,1.694924,0.200274,-0.324172,1.512665,1.086423,1.001746,1.056729,1.142836,1.487255,4.757458,3.836466,1.835004,-2.949452,0.354609,2.065005,1.920557,-1.147521,-1.023912,-1.266029,-1.065448,-0.664965,-0.353634,-0.11647,-0.026803,-2.016536,-0.571901,-0.726953,0.260315,0.636685,0.728448,-0.848421,Piecewise
103325,110.3288,20.04534,0,-4.025394,-2.885834,2.632275,-1.914948,-6.703135,-1.513168,-2.43012,0.925866,-0.696717,-4.660595,-1.128657,2.103775,-3.092562,-0.10026,-1.132046,1.414832,2.177328,-0.420702,-2.41189,-0.271647,0.216238,-2.040141,-1.623626,-0.14723,6.365344,0.556603,0.10512,0.694266,0.805091,-5.721175,-0.466769,2.80719,7.893322,9.460099,7.276406,0.620897,5.706532,1.112106,3.287494,8.15003,9.63445,7.467986,8.572668,9.744839,9.026999,8.731675,8.082092,7.312639,5.901944,7.721025,9.864085,7.77779,2.469637,8.522567,6.299769,12.910095,10.911293,12.125902,7.340717,9.795036,0.60265,15.399908,7.834037,8.858061,2.957848,2.38751,4.52361,6.896951,2.146128,5.88328,4.985605,9.668444,8.300006,5.63418,9.211181,3.418774,6.254619,7.995018,5.956629,7.901762,10.24352,6.804798,8.090654,13.462066,2.740457,8.947878,5.75594,7.246994,8.086312,7.367679,13.122037,3.086137,0.102451,1.892271,4.749758,1.990364,-2.898287,1.983803,7.628763,7.228897,5.200691,8.466595,4.17217,5.400474,5.127002,6.695283,5.527216,5.939833,4.266737,3.977259,3.297044,4.441499,1.072232,7.257724,3.182373,1.951425,-2.894977,2.391647,1.809613,1.635937,3.040171,5.501448,-1.752199,2.747545,3.188567,7.110928,7.813508,5.913655,9.632147,6.877788,8.556771,7.353413,8.77149,6.61322,7.448997,6.85843,4.835875,7.962308,5.161687,4.430625,4.756802,4.907003,0.325223,2.169393,3.372653,1.455988,-4.640835,-0.724289,2.896079,-1.122457,-3.606632,-3.463031,0.769679,0.418603,-2.316832,-2.772329,-4.483235,-0.775461,-2.059174,-1.793592,-5.092075,-2.790379,-3.132167,-5.128215,-8.752035,-7.135005,-8.807535,-8.986835,-4.221054,-7.727275,-6.706505,-2.212228,-2.190393,-10.311135,-8.431275,-8.255315,-5.900375,-7.291885,-7.550755,-8.864555,-9.408015,-7.248095,-7.536875,-7.431915,-8.823955,-7.209375,-7.675635,-5.967915,-6.039985,-8.585995,-13.732665,-8.976455,-7.581805,-6.597445,-9.820375,-9.767235,-9.505875,-10.317015,-9.937375,-9.208015,-9.343035,-8.846405,-10.501495,-9.690655,-9.988205,-9.491395,-11.111965,-11.091715,-10.617165,Piecewise
103341,110.329,20.04536,0,-6.396115,-1.609266,2.184848,-3.097075,-4.629405,0.23891,-5.884415,4.295517,-1.987,-4.028205,-0.98733,-0.417023,-3.846534,0.651682,-0.371097,-1.259815,-0.788236,-1.939001,-2.968123,-4.520485,-4.411365,-4.969245,-3.820679,-2.776969,3.576116,-1.872376,-3.1788,0.731365,3.820855,-0.784191,1.971084,2.742562,10.019467,7.806769,2.390329,-1.961113,-0.748962,-5.998695,-4.334625,1.604189,5.014741,-0.080833,6.360399,6.459951,3.516379,1.13304,4.92762,4.279822,-0.64778,2.229694,2.73583,3.273576,-4.199705,-0.255211,0.60505,7.416365,4.744923,3.93886,-0.194069,2.322182,-4.542135,8.094559,4.418679,-0.179386,0.024161,-4.014585,0.763932,3.206079,-0.080924,1.731465,2.734613,5.528775,8.920565,3.181323,6.797299,0.661177,3.259029,2.23017,4.486418,4.753708,7.909206,5.852179,7.327096,11.541509,1.665017,6.317716,5.35191,5.560431,5.805175,5.329252,11.221225,2.369362,0.546612,7.040293,6.108567,2.075376,0.092491,2.766226,4.984937,10.58308,5.764764,7.219907,5.329584,6.223266,4.164852,7.100887,6.887165,5.357643,5.423787,5.553125,5.507853,8.355025,5.75097,9.796836,10.7951,6.061085,1.913417,10.165432,3.992649,8.337682,8.87514,8.023616,5.079246,7.749165,3.993556,9.887065,9.035738,8.662107,10.565325,10.09215,10.260766,10.645058,10.565664,11.142494,10.305145,11.837826,10.330644,14.026564,12.207093,9.393261,11.640215,6.562333,9.60184,10.404054,7.068148,8.296273,2.728976,4.249578,7.811775,6.555314,4.306493,3.934266,7.489441,6.715447,4.203615,5.795008,3.837447,7.654358,6.057025,5.994776,2.935963,5.91367,3.806504,5.228252,2.605017,0.657281,0.451393,0.777397,5.142812,0.558808,3.10964,6.650681,7.425442,-2.336095,0.072585,2.373582,4.742402,2.920821,1.990515,1.638543,1.42964,2.861,1.914529,1.216348,0.879412,1.702521,3.004589,5.049543,7.962799,3.086125,0.696919,3.98914,5.903968,5.201225,1.926667,3.030316,3.831247,3.914232,2.761602,4.291031,4.070038,4.089993,3.419096,3.942478,3.107309,4.306361,3.531548,3.446876,2.550133,Piecewise
